,price,total_square,rooms,floor,distance_to_center
44988,12800000,55,2,10,24.003248449642914
44989,32715200,92,2,13,10.965262342728414
44990,10180000,48,2,6,15.449669650260272
44991,14950000,60,2,19,12.257525387355136
44992,140000000,310,6,18,9.762479432958408
44993,18826490,38,1,3,6.629826519636335
44994,29799996,114,3,10,10.891109189324823
44995,125000000,180,4,5,2.277473626005676
44996,15750000,42,2,9,3.4723427782058756
44997,14630000,24,1,14,7.585774055276078
44998,66516560,96,3,16,8.51479554113719
44999,13700000,54,2,5,15.16384541242139
45000,6999999,40,2,3,15.736835828342272
45001,13400000,45,2,5,13.050265318741703
45002,24000000,65,2,18,5.815868284492803
45003,5000000,35,1,16,22.68412592091548
45004,38900000,132,3,9,11.504660874003157
45005,16900000,58,2,19,17.58829689357824
45006,6200000,25,1,8,19.849087073759613
45007,10250000,82,3,10,22.68412592091548
45008,27771965,53,1,4,2.8690057403117812
45009,16570000,74,3,1,15.433789019506602
45010,124539232,134,4,28,6.009596111363289
45011,10712352,36,1,13,21.065363988807835
45012,28000000,41,1,12,5.933059402965845
45013,7800000,62,2,6,25.731031995570756
45014,8250000,32,1,11,24.449691510799013
45015,19536050,73,2,13,9.335373057551427
45016,25800000,63,3,6,11.228563990433305
45017,38563200,92,3,3,5.698447192077534
45018,53754792,65,1,5,1.910095991809267
45019,19980000,71,2,6,6.620345945624791
45020,47726315,92,3,3,3.918591869256118
45021,11600000,73,2,5,19.383053844696157
45022,7900000,60,2,15,31.464010741009982
45023,16423350,31,1,9,5.114644761481589
45024,26800000,87,3,2,6.346725348571116
45025,12350000,53,2,1,16.975230027447633
45026,135000000,185,4,11,7.733590972086364
45027,8496638,41,1,3,24.55760404004909
45028,7969208,40,1,22,19.48555150170208
45029,14450000,54,2,3,12.171526081119175
45030,15000000,48,2,7,9.62577440091161
45031,16000000,65,2,6,21.8862597164666
45032,7300000,42,1,12,19.765776462543197
45033,9300000,41,1,16,27.990069449117406
45034,40890000,93,3,10,10.75135117364846
45035,18699000,56,2,6,5.915265591008871
45036,46570000,96,3,21,7.585774055276078
45037,13881908,25,1,10,12.365539154004589
45038,13347933,51,2,13,21.058957935821685
45039,9100000,32,1,6,10.0962272107581
45040,22892898,68,2,40,16.09891385890682
45041,13490000,52,2,22,8.250028322483393
45042,14000000,67,3,13,19.275073578416418
45043,5100000,35,1,1,22.801620476649642
45044,42549696,103,4,32,11.54805578697528
45045,9105054,35,1,7,5.426831040820094
45046,12592960,36,1,8,10.763377148437833
45047,8500000,31,1,9,12.239468878299462
45048,9700000,56,2,12,21.885124135432374
45049,21618096,63,2,16,16.09891385890682
45050,9300000,34,1,9,18.149406856456054
45051,6500000,38,1,1,26.007001819855965
45052,42759150,105,3,23,12.151310082603274
45053,11040000,46,2,20,13.080030440969173
45054,13563406,61,3,12,23.520881781775792
45055,133033120,365,6,8,9.649354313524691
45056,10900000,34,1,12,22.653301646391434
45057,181408800,179,4,10,2.589775798630252
45058,16260000,24,1,24,7.585774055276078
45059,21500000,124,3,17,18.12466185583264
45060,17100000,93,2,14,19.671965798855258
45061,9000000,41,1,9,15.633568788605315
45062,8500000,60,3,1,31.335450956761335
45063,89696832,138,4,16,6.457508609037199
45064,35500000,86,3,48,6.718793715457834
45065,79000000,300,5,1,13.86471218972961
45066,7500000,40,1,10,31.1791267859769
45067,11847200,25,1,43,10.965262342728414
45068,11650000,58,2,15,15.396020451478996
45069,11000000,41,1,10,19.95522161781374
45070,57550000,128,4,8,6.830241986100657
45071,10000000,76,3,10,22.79765716423381
45072,37769000,89,2,10,2.7861100333673723
45073,16434600,46,1,36,15.25542703370679
45074,13411272,70,3,8,23.013794201086085
45075,16400000,74,3,10,25.275978689193884
45076,84000000,105,3,5,3.6689968858756394
45077,8000000,32,1,8,22.18925347906263
45078,15000000,92,3,11,25.34373847149137
45079,16400000,69,3,15,23.76332659582258
45080,120000000,151,4,10,6.372148730801347
45081,7150000,35,1,15,21.71616061285449
45082,15100000,34,1,7,14.180364960879979
45083,30300000,74,3,23,15.842560249098097
45084,23689427,67,2,3,8.85905124646558
45085,10200000,46,1,5,17.362637482039734
45086,11163740,32,1,6,10.763377148437833
45087,37507050,92,3,8,5.800445169605705
45088,26500000,50,1,14,9.689648538623997
45089,9650000,37,2,6,12.858463468343622
45090,36750000,62,2,27,7.585774055276078
45091,18500000,56,2,12,10.679679531678747
